Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms,PDB Structures,n_structures
KDM5A,"lysine (K)-specific demethylase 5A, JARID1A",5927.0,12:280129-389454,1,,12p13.33,yes,,AML,,,L,Dom,"oncogene, fusion",T,NUP98,,,"CCDS41736.1,ENSG00000073614.12,JARID1A,NM_001042603.2,NP_001036068,P29375,RBBP2","['2JXJ', '2KGG', '2KGI', '3GL6', '5C11', '5CEH', '5E6H', '5ISL', '5IVB', '5IVC', '5IVE', '5IVF', '5IVJ', '5IVV', '5IVY', '5IW0', '5IWF', '5K4L', '5V9P', '5V9T', '6BGU', '6BGV', '6BGW', '6BGX', '6BGY', '6BGZ', '6BH0', '6BH1', '6BH2', '6BH3', '6BH4', '6BH5', '6DQ4', '6DQ5', '6DQ6', '6DQ7', '6DQ8', '6DQ9', '6DQA', '6DQB', '6DQC', '6DQD', '6DQE', '6DQF', '7KLO', '7KLR']",46
KDM5C,lysine (K)-specific demethylase 5C (JARID1C),8242.0,X:53192152-53225422,1,Yes,Xp11.22,yes,,clear cell renal carcinoma,,,E,Rec,TSG,"N, F, S, Mis",,yes, X-linked mental retardation syndromic Claes-Jensen-type.,"CCDS14351.1,DXS1272E,ENSG00000126012.11,JARID1C,MRX13,NM_004187.3,NP_004178,P41229,SMCX,XE169","['2JRZ', '5FWJ']",2
KDM6A,"lysine (K)-specific demethylase 6A, UTX",7403.0,X:44873511-45112602,1,Yes,Xp11.3,yes,,"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types",,,"E, L",Rec,"oncogene, TSG","D, N, F, S",,yes,Kabuki syndrome,"CCDS14265.1,ENSG00000147050.14,NM_021140.3,NP_066963,O15550,UTX","['3AVR', '3AVS', '6FUK', '6FUL']",4
KDR,vascular endothelial growth factor receptor 2,3791.0,4:55078259-55125595,1,Yes,4q12,yes,yes,"NSCLC, angiosarcoma",melanoma,,E,Dom,oncogene,Mis,,,,"CCDS3497.1,CD309,ENSG00000128052.9,FLK1,NM_002253.2,NP_002244,VEGFR,VEGFR2","['1VR2', '1Y6A', '1Y6B', '1YWN', '2M59', '2MET', '2MEU', '2OH4', '2P2H', '2P2I', '2QU5', '2QU6', '2RL5', '2X1W', '2X1X', '2XIR', '3B8Q', '3B8R', '3BE2', '3C7Q', '3CJF', '3CJG', '3CP9', '3CPB', '3CPC', '3DTW', '3EFL', '3EWH', '3KVQ', '3S35', '3S36', '3S37', '3U6J', '3V2A', '3V6B', '3VHE', '3VHK', '3VID', '3VNT', '3VO3', '3WZD', '3WZE', '4AG8', '4AGC', '4AGD', '4ASD', '4ASE', '5EW3', '5OYJ', '6GQO', '6GQP', '6GQQ', '6XVJ', '6XVK']",54
KDSR,3-ketodihydrosphingosine reductase,2531.0,18:63327726-63367510,1,,18q21.33,yes,,B-NHL,,,L,Dom,fusion,T,IGK,,,"CCDS11982.1,DHSR,ENSG00000119537.16,FVT1,Q06136,SDR35C1",,0
KEAP1,kelch like ECH associated protein 1,9817.0,19:10486120-10503741,1,Yes,19p13.2,yes,,"NSCLC, breast carcinoma",,,E,,TSG,"Mis, N, F",,,,"CCDS12239.1,ENSG00000079999.13,INrf2,KIAA0132,KLHL19,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,NM_203500.1,NP_987096,Q14145","['1U6D', '1ZGK', '2FLU', '3VNG', '3VNH', '3ZGC', '3ZGD', '4CXI', '4CXJ', '4CXT', '4IFJ', '4IFL', '4IFN', '4IN4', '4IQK', '4L7B', '4L7C', '4L7D', '4N1B', '4XMB', '5DAD', '5DAF', '5F72', '5GIT', '5NLB', '5WFL', '5WFV', '5WG1', '5WHL', '5WHO', '5WIY', '5X54', '6FFM', '6FMP', '6FMQ', '6HWS', '6LRZ', '6ROG', '6SP1', '6SP4', '6T7V', '6T7Z', '6TG8', '6TYM', '6TYP', '6UF0', '6V6Z', '6W66', '6W67', '6W68', '6W69', '6WCQ', '6Z6A', '7EXI', '7K28', '7K29', '7K2A', '7K2B', '7K2C', '7K2D', '7K2E', '7K2F', '7K2G', '7K2H', '7K2I', '7K2J', '7K2K', '7K2L', '7K2M', '7K2N', '7K2O', '7K2P', '7K2Q', '7K2R', '7K2S', '7Q5H', '7Q6Q', '7Q6S', '7Q8R', '7Q96', '7X4W', '7X4X', '7XM2', '7XM3', '7XM4', '7XM5', '7XOT', '8EHV', '8EJR', '8EJS', '8IVG', '8IVR', '8IXS', '8PKU', '8PKV', '8PKW', '8PKX', '8WFG', '8X34']",99
KIAA1549,KIAA1549,57670.0,7:138837525-138981318,2,,7q34,yes,,pilocytic astrocytoma,,,O,Dom,fusion,T,BRAF,,,"CCDS56513.1,ENSG00000122778.9,NM_001164665.1,NP_001158137,Q9HCM3",,0
KIF5B,kinesin family member 5B,3799.0,10:32009010-32056431,1,,10p11.22,yes,,"NSCLC, Spitzoid tumour",,,E,Dom,fusion,T,"RET, ALK",,,"CCDS7171.1,ENSG00000170759.10,KNS,KNS1,NM_004521.2,NP_004512,P33176","['1BG2', '1MKJ', '2P4N', '3J8X', '3J8Y', '4HNA', '4LNU', '5LT0', '5LT1', '5LT2', '5LT3', '5LT4', '6OJQ', '7RIK', '8IXA', '8IXB', '8IXD', '8IXE', '8IXF', '8IXG']",20
KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,3815.0,4:54657918-54740715,1,Yes,4q12,yes,yes,"GIST, AML, TGCT, mastocytosis, mucosal melanoma","GIST, epithelioma",familial gastrointestinal stromal tumour,"L, M, O, E",Dom,oncogene,"Mis, O",,yes,Piebald trait,"C-Kit,CCDS3496.1,CD117,ENSG00000157404.15,NM_000222.2,NP_000213,P10721,PBT,SCFR","['1PKG', '1T45', '1T46', '2E9W', '2EC8', '2IUH', '2VIF', '3G0E', '3G0F', '4HVS', '4K94', '4K9E', '4PGZ', '4U0I', '6GQJ', '6GQK', '6GQL', '6GQM', '6HH1', '6ITT', '6ITV', '6KLA', '6MOB', '6XV9', '6XVA', '6XVB', '7KHG', '7KHJ', '7KHK', '7ZW8', '7ZY6', '8DFM', '8DFP', '8DFQ']",34
KLF4,Kruppel-like factor 4,9314.0,9:107484852-107489646,1,Yes,9q31.2,yes,,meningioma,,,O,Dom,"oncogene, TSG",Mis,,,,"CCDS6770.2,ENSG00000136826.14,EZF,GKLF,NM_004235.5,NP_004226,NP_001300981.1,O43474",['6VTX'],1
KLF6,Kruppel-like factor 6,1316.0,10:3775996-3785275,1,,10p15.2,yes,,"prostate, glioma",,,"E, O",Rec,TSG,"Mis, N",,,,"BCD1,CCDS7060.1,COPEB,CPBP,ENSG00000067082.14,GBF,NM_001300.5,NP_001291,NP_001153596.1,PAC1,Q99612,ST12,Zf9",,0
KLK2,kallikrein-related peptidase 2,3817.0,19:50873249-50880567,1,,19q13.33,yes,,prostate,,,E,Dom,fusion,T,ETV4,,,"CCDS12808.1,ENSG00000167751.12,NM_005551.4,NP_005542,P20151","['4NFE', '4NFF']",2
KMT2A,lysine (K)-specific methyltransferase 2A,4297.0,11:118436490-118526832,1,Yes,11q23.3,yes,,"AML, ALL",,,L,Dom,"oncogene, fusion","T, O","KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18",,,"ALL-1,CCDS55791.1,CXXC7,ENSG00000118058.20,HRX,HTRX1,MLL,MLL1A,NM_001197104.1,NP_001184033,Q03164,TRX1","['2AGH', '2J2S', '2JYI', '2KKF', '2KU7', '2KYU', '2LXS', '2LXT', '2MSR', '2MTN', '2W5Y', '2W5Z', '3EG6', '3EMH', '3LQH', '3LQI', '3LQJ', '3P4F', '3U85', '3U88', '4ESG', '4GQ6', '4NW3', '5F5E', '5F6L', '5SVH', '6EMQ', '6KIU', '6KIV', '6KIX', '6KIZ', '6PWV', '6PWW', '6U9K', '6U9M', '6U9N', '6U9R', '6W5I', '6W5M', '6W5N', '7MBM', '7MBN', '7RZD', '7RZJ', '7S79', '7S7D', '7S8A', '7S8E', '7S8F', '7U5V', '7W67', '7W6A', '7W6I', '7W6J', '7ZEY', '7ZEZ']",56
KMT2C,lysine (K)-specific methyltransferase 2C,58508.0,7:152134925-152436005,1,Yes,7q36.1,yes,,medulloblastoma,,,O,Rec,TSG,N,,,,"CCDS5931.1,ENSG00000055609.17,HALR,KIAA1506,MLL3,NM_170606.2,NP_733751,Q8NEZ4","['2YSM', '2YUK', '3UVL', '4ERY', '5F59', '5F6K', '6KIW', '6MLC', '7W6L']",9
KMT2D,lysine (K)-specific methyltransferase 2D,8085.0,12:49018975-49055324,1,Yes,12q13.12,yes,,"medulloblastoma, renal",,,"O, E",Rec,"oncogene, TSG","N, F, Mis",,,,"ALR,CAGL114,CCDS44873.1,ENSG00000167548.14,MLL2,MLL4,NM_003482.3,NP_003473,O14686,TNRC21","['3UVK', '4ERQ', '4Z4P', '6O7G']",4
KNL1,cancer susceptibility candidate 5,57082.0,15:40594020-40664342,1,Yes,15q15.1,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"AF15Q14,CASC5,CCDS42023.1,CT29,D40,ENSG00000137812.19,KIAA1570,MCPH4,NM_170589.4,NP_733468,PPP1R55,Q8NG31,Spc7,hKNL-1,hSpc105","['3SI5', '4A1G', '4NF9', '4NFA']",4
KNSTRN,kinetochore localized astrin/SPAG5 binding protein,90417.0,15:40382721-40394245,2,,15q15.1,yes,,SCC,,,E,,oncogene,Mis,,,,"C15orf23,CCDS42021.1,ENSG00000128944.13,FLJ14502,NM_033286.3,NP_150628,Q9Y448,SKAP,TRAF4AF1,kinastrin",,0
KRAS,v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog,3845.0,12:25209431-25250803,1,Yes,12p12.1,yes,,"pancreatic, colorectal, lung, thyroid, AML, other tumour types",,,"L, E, M, O",Dom,oncogene,Mis,,,,"CCDS8703.1,ENSG00000133703.11,KRAS1,KRAS2,NM_033360.3,NP_203524,P01116","['1D8D', '1D8E', '1KZO', '1KZP', '1N4P', '1N4Q', '1N4R', '1N4S', '3GFT', '4DSN', '4DSO', '4EPR', '4EPT', '4EPV', '4EPW', '4EPX', '4EPY', '4L8G', '4LDJ', '4LPK', '4LRW', '4LUC', '4LV6', '4LYF', '4LYH', '4LYJ', '4M1O', '4M1S', '4M1T', '4M1W', '4M1Y', '4M21', '4M22', '4NMM', '4OBE', '4PZY', '4PZZ', '4Q01', '4Q02', '4Q03', '4QL3', '4TQ9', '4TQA', '4WA7', '5F2E', '5KYK', '5MLA', '5MLB', '5O2S', '5O2T', '5OCG', '5OCO', '5OCT', '5TAR', '5TB5', '5UFE', '5UFQ', '5UK9', '5UQW', '5US4', '5USJ', '5V6S', '5V6V', '5V71', '5V9L', '5V9O', '5V9U', '5VBM', '5VP7', '5VPI', '5VPY', '5VPZ', '5VQ0', '5VQ1', '5VQ2', '5VQ6', '5VQ8', '5W22', '5WHA', '5WHB', '5WHD', '5WHE', '5WLB', '5WPM', '5XCO', '5YXZ', '5YY1', '6ARK', '6ASA', '6ASE', '6B0V', '6B0Y', '6BOF', '6BP1', '6CC9', '6CCH', '6CCX', '6CU6', '6E6F', '6E6G', '6EPL', '6EPM', '6EPN', '6EPO', '6EPP', '6F76', '6FA1', '6FA2', '6FA3', '6FA4', '6GJ5', '6GJ6', '6GJ7', '6GJ8', '6GOD', '6GOE', '6GOF', '6GOG', '6GOM', '6GQT', '6GQW', '6GQX', '6GQY', '6H46', '6H47', '6JTN', '6JTO', '6JTP', '6M9W', '6MBQ', '6MBT', '6MBU', '6MNX', '6MQG', '6MQN', '6MS9', '6MTA', '6N2J', '6N2K', '6O36', '6O46', '6O4Y', '6O4Z', '6O51', '6O53', '6OB2', '6OB3', '6OIM', '6P0Z', '6P8W', '6P8X', '6P8Y', '6P8Z', '6PGO', '6PGP', '6PQ3', '6PTS', '6PTW', '6QUU', '6QUV', '6QUW', '6QUX', '6T5B', '6T5U', '6T5V', '6TAM', '6TAN', '6USX', '6USZ', '6UT0', '6V5L', '6V65', '6V6F', '6VC8', '6VJJ', '6W4E', '6W4F', '6WGN', '6WS2', '6WS4', '6XGU', '6XGV', '6XHA', '6XHB', '6YR8', '6YXW', '6ZL5', '6ZLI', '7A1W', '7A1X', '7A1Y', '7A47', '7ACA', '7ACF', '7ACH', '7ACQ', '7C40', '7C41', '7EW9', '7EWA', '7EWB', '7EYX', '7F0W', '7KFZ', '7KMR', '7KYZ', '7LC1', '7LC2', '7LGI', '7LZ5', '7MDP', '7MQU', '7NY8', '7O70', '7OK3', '7OK4', '7OO7', '7Q9U', '7R0M', '7R0N', '7R0Q', '7ROV', '7RP2', '7RP3', '7RP4', '7RPZ', '7RSC', '7RSE', '7RT1', '7RT2', '7RT3', '7RT4', '7RT5', '7SCW', '7SCX', '7STF', '7T1F', '7T47', '7TLE', '7TLG', '7TLK', '7U8H', '7VVB', '7W5R', '7YCC', '7YCE', '7YUZ', '7YV1', '8AFB', '8AFC', '8AFD', '8AQ5', '8AQ7', '8AZR', '8AZV', '8AZX', '8AZY', '8AZZ', '8B00', '8B6I', '8B78', '8CX5', '8DNI', '8DNJ', '8DNK', '8DVG', '8EBZ', '8ECR', '8EDY', '8EER', '8EIE', '8EPW', '8EZG', '8F0M', '8FMJ', '8FMK', '8G42', '8G47', '8G4F', '8G4H', '8G9P', '8G9Q', '8I5E', '8JJS', '8ONV', '8QU8', '8QUG', '8QVU', '8QW6', '8QW7', '8STM', '8STN', '8TXE', '8TXG', '8TXH']",295
KTN1,kinectin 1 (kinesin receptor),3895.0,14:55580317-55684579,1,,14q22.3,yes,,papillary thyroid,,,E,Dom,fusion,T,RET,,,"CCDS41957.1,CG1,ENSG00000126777.17,KIAA0004,KNT,NM_001271014.1,NP_001072989,NP_001257943.1,Q86UP2",,0
LARP4B,La ribonucleoprotein domain family member 4B,23185.0,10:806914-931705,2,,10p15.3,yes,,"CRC, glioma",,,"E, O",,TSG,"F, D",,,,"CCDS31131.1,ENSG00000107929.14,KIAA0217,LARP5,NM_015155.2,NP_055970,Q92615",['3PTH'],1
LASP1,LIM and SH3 protein 1,3927.0,17:38869859-38921770,1,,17q12,yes,,AML,,,L,Dom,fusion,T,KMT2A,,,"CCDS11331.1,ENSG00000002834.17,Lasp-1,MLN50,NM_006148.3,NP_006139,Q14847",['3I35'],1
LATS1,large tumor suppressor kinase 1,9113.0,6:149658153-149718256,1,Yes,6q25.1,yes,,skin basal cell carcinoma,,,E,,TSG,"Mis, N",,,,"CCDS34551.1,ENSG00000131023.12,NM_004690.3,NP_004681,O95835,WARTS","['4ZRK', '5B5W', '5BRK', '7LWH']",4
LATS2,large tumor suppressor kinase 2,26524.0,13:20973032-21061547,1,Yes,13q12.11,yes,,malignant mesothelioma,,,E,,TSG,"D, F, N",,,,"CCDS9294.1,ENSG00000150457.8,NM_014572.2,NP_055387,Q9NRM7",['4ZRI'],1
LCK,lymphocyte-specific protein tyrosine kinase,3932.0,1:32251239-32286165,1,Yes,1p35.2,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TRB,,,"CCDS359.1,ENSG00000182866.16,NM_005356.4,NP_005347,P06239","['1BHF', '1BHH', '1CWD', '1CWE', '1FBZ', '1H92', '1IJR', '1KIK', '1LCJ', '1LCK', '1LKK', '1LKL', '1Q68', '1Q69', '1QPC', '1QPD', '1QPE', '1QPJ', '1X27', '2IIM', '2OF2', '2OF4', '2OFU', '2OFV', '2OG8', '2PL0', '2ZM1', '2ZM4', '2ZYB', '3AC1', '3AC2', '3AC3', '3AC4', '3AC5', '3AC8', '3ACJ', '3ACK', '3AD4', '3AD5', '3AD6', '3B2W', '3BRH', '3BYM', '3BYO', '3BYS', '3BYU', '3KMM', '3KXZ', '3LCK', '3MPM', '4C3F', '4D8K', '5MTM', '5MTN', '6H6A', '6PDJ', '8X2P']",57
LCP1,lymphocyte cytosolic protein 1 (L-plastin),3936.0,13:46125920-46211348,2,,13q14.13,yes,,NHL,,,L,Dom,fusion,T,BCL6,,,"CCDS9403.1,CP64,ENSG00000136167.13,L-PLASTIN,LC64P,P13796,PLS2","['2D85', '5JOJ', '5JOL', '6VEC']",4
LEF1,lymphoid enhancer binding factor 1,51176.0,4:108047545-108168422,1,Yes,4q25,yes,,"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas",,,"L, E",,"oncogene, TSG","Mis, N",,,,"CCDS3679.1,ENSG00000138795.9,NM_016269.4,NP_057353,Q9UJU2,TCF10,TCF1ALPHA,TCF7L3",,0
LEPROTL1,leptin receptor overlapping transcript like 1,23484.0,8:30095480-30138348,2,,8p12,yes,,"lung cancer, colon cancer",,,E,,TSG,D,,,,"CCDS47834.1,ENSG00000104660.17,NM_001128208.1,NP_001121680,O95214,Vps55,my047",,0
LHFPL6,lipoma HMGIC fusion partner,10186.0,13:39342892-39603171,2,,13q14.11,yes,,lipoma,,,M,Dom,fusion,T,HMGA2,,,"CCDS9369.1,ENSG00000183722.7,LHFP,MGC22429,NM_005780.2,NP_005771,Q9Y693",,0
LIFR,leukemia inhibitory factor receptor,3977.0,5:38474963-38595404,1,Yes,5p13.1,yes,,salivary adenoma,,,E,Dom,fusion,T,PLAG1,,,"CCDS3927.1,CD118,ENSG00000113594.9,NM_002310.5,NP_002301,P42702","['3E0G', '8D6A', '8D74', '8D7R']",4
LMNA,lamin A/C,4000.0,1:156114707-156140089,1,Yes,1q22,yes,,Spitzoid tumour,,,E,Dom,fusion,T,NTRK1,yes,"Muscular dystrophy, dilated cardiomyopathy,  familial partial lipodystrophy, and others","CCDS1129.1,CMD1A,ENSG00000160789.19,HGPS,LGMD1B,LMN1,LMNL1,MADA,NM_170707.3,NP_733821,P02545,PRO1","['1IFR', '1IVT', '1X8Y', '2XV5', '2YPT', '3GEF', '3V4Q', '3V4W', '3V5B', '6GHD', '6JLB', '6RPR', '6SNZ', '6YF5', '6YJD', '7CRG', '7D9N', '7WZZ', '7X1B', '7X5D', '7YVD', '7Z21']",22
LMO1,LIM domain only 1 (rhombotin 1) (RBTN1),4004.0,11:8224304-8263858,1,,11p15.4,yes,yes,"T-ALL, neuroblastoma",neuroblastoma,,L,Dom,"oncogene, fusion","T, A",TRD,,,"CCDS44534.1,ENSG00000166407.13,NM_002315.2,NP_002306,P25800,RBTN1,RHOM1,TTG1",,0
LMO2,LIM domain only 2 (rhombotin-like 1) (RBTN2),4005.0,11:33858576-33892289,1,,11p13,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TRD,,,"CCDS7888.2,ENSG00000135363.11,NM_005574.3,NP_005565,P25791,RBTN2,RBTNL1,RHOM2,TTG2","['2XJY', '2XJZ', '2YPA', '4KFZ']",4
LPP,LIM domain containing preferred translocation partner in lipoma,4026.0,3:188212933-188890671,1,,3q28,yes,,"lipoma, leukaemia",,,"L, M",Dom,"oncogene, fusion",T,"HMGA2, KMT2A, C12orf9",,,"CCDS3291.1,ENSG00000145012.13,NM_005578.4,NP_005569,Q93052",,0
LRIG3,leucine-rich repeats and immunoglobulin-like domains 3,121227.0,12:58872149-58920522,1,,12q14.1,yes,,NSCLC,,,E,Dom,"TSG, fusion",T,ROS1,,,"CCDS8960.1,ENSG00000139263.11,FLJ90440,KIAA3016,NM_153377.4,NP_700356,Q6UXM1",,0
LRP1B,LDL receptor related protein 1B,53353.0,2:140231423-142131701,1,Yes,2q22.2,yes,,"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer",,,"E, L",Rec,TSG,"D, Mis, N, F",,,,"CCDS2182.1,ENSG00000168702.17,LRP-DIT,LRPDIT,NM_018557.2,NP_061027,Q9NZR2",,0
LSM14A,"LSM14A, SCD6 homolog A (S. cerevisiae)",26065.0,19:34172566-34229515,2,,19q13.11,yes,,Spitzoid tumour,,,E,Dom,fusion,T,BRAF,,,"C19orf13,CCDS12435.1,DKFZP434D1335,ENSG00000257103.8,FAM61A,NM_015578.2,NP_056393,Q8ND56,RAP55,RAP55A",['6F9W'],1
LYL1,lymphoblastic leukemia derived sequence 1,4066.0,19:13099033-13102867,1,,19p13.13,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TRB,,,"CCDS12292.1,ENSG00000104903.4,NM_005583.4,NP_005574,P12980,bHLHa18",,0
LYN,LYN Proto-Oncogene,4067.0,8:55879813-56010572,2,,8q12.1,yes,,"DLBCL, B-ALL, MPN",,,L,,"oncogene, fusion","Mis, T","ETV6, GATAD2A, NCOR1",,,"CCDS6162.1,ENSG00000254087.7,JTK8,NM_002350.3,NP_002341,P07948","['1W1F', '1WA7', '3A4O', '5XY1', '6NMW', '8WFF']",6
LZTR1,leucine-zipper-like transcription regulator 1,8216.0,22:20982013-20999038,1,Yes,22q11.21,yes,yes,glioblastoma,"glioblastoma, schwannoma",Schwannomatosis-2,E,Dom,TSG,"Mis, F, N",,yes,Noonan syndrome 10,"BTBD29,CCDS33606.1,ENSG00000099949.19,LZTR-1,Q8N653",,0
MACC1,MET transcriptional regulator MACC1,346389.0,7:20134655-20217390,2,,7p21.1,yes,,"liver, CRC",,,E,,oncogene,Mis,,,,"7A5,CCDS5369.1,ENSG00000183742.12,NM_182762.3,NP_877439,Q6ZN28,SH3BP4L",,0
MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog,4094.0,16:79593838-79600714,1,,16q23.2,yes,,MM,,,L,Dom,"oncogene, fusion",T,IGH,,,"CCDS10928.1,ENSG00000178573.6,NM_005360.4,NP_005351,O75444,c-MAF",,0
MAFB,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian),9935.0,20:40685848-40689240,1,,20q12,yes,,MM,,,L,Dom,"oncogene, fusion",T,IGH,,,"CCDS13311.1,ENSG00000204103.3,KRML,NM_005461.4,NP_005452,Q9Y5Q3",,0
MALAT1,metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding),,11:65497762-65506469,2,,11q13.1,yes,,"renal cell carcinoma (childhood epithelioid), lung",,,E,Dom,"oncogene, TSG, fusion",T,TFEB,,,,,0
MALT1,mucosa associated lymphoid tissue lymphoma translocation gene 1,10892.0,18:58671386-58754477,1,,18q21.32,yes,,MALT,,,L,Dom,"oncogene, fusion",T,BIRC3,,,"CCDS11967.1,ENSG00000172175.12,MLT,NM_006785.3,NP_006776,PCASP1,Q9UDY8","['2G7R', '3BFO', '3K0W', '3UO8', '3UOA', '3V4O', '3V55', '4I1P', '4I1R', '6F7I', '6GK2', '6H4A', '6YN8', '6YN9', '7A41', '7AK0', '7AK1', '7PAV', '7PAW', '8CZO']",20
MAML2,mastermind-like 2 (Drosophila),84441.0,11:95976598-96343180,1,,11q21,yes,,salivary gland mucoepidermoid,,,E,Dom,"oncogene, fusion",T,"CRTC3, CRTC1",,,"CCDS44714.1,ENSG00000184384.13,KIAA1819,MAM3,NM_032427.3,NP_115803,Q8IZL2",,0
MAP2K1,mitogen-activated protein kinase kinase 1,5604.0,15:66386817-66492312,1,Yes,15q22.31,yes,,"NSCLC, melanoma, colorectal",,,E,Dom,oncogene,Mis,,yes,Cardiofaciocutaneous syndrome,"CCDS10216.1,ENSG00000169032.9,MAPKK1,MEK1,NM_002755.3,NP_002746,PRKMK1,Q02750","['1S9J', '2P55', '3DV3', '3DY7', '3E8N', '3EQB', '3EQC', '3EQD', '3EQF', '3EQG', '3EQH', '3EQI', '3MBL', '3ORN', '3OS3', '3PP1', '3SLS', '3V01', '3V04', '3VVH', '3W8Q', '3WIG', '3ZLS', '3ZLW', '3ZLX', '3ZLY', '3ZM4', '4AN2', '4AN3', '4AN9', '4ANB', '4ARK', '4LMN', '4MNE', '4U7Z', '4U80', '4U81', '5BX0', '5EYM', '5HZE', '5YT3', '6NYB', '6PP9', '6Q0J', '6Q0T', '6U2G', '6V2W', '6X2P', '6X2S', '6X2X', '7B3M', '7B7R', '7B94', '7B9L', '7F2X', '7M0T', '7M0U', '7M0V', '7M0W', '7M0X', '7M0Y', '7M0Z', '7MFD', '7PQV', '7UMB', '7XLP', '7XNC', '8DGS', '8DGT']",69
MAP2K2,mitogen-activated protein kinase kinase 2,5605.0,19:4090321-4124129,1,Yes,19p13.3,yes,,"NSCLC, melanoma",,,E,Dom,oncogene,Mis,,yes,Cardiofaciocutaneous syndrome,"CCDS12120.1,ENSG00000126934.13,MEK2,NM_030662.3,NP_109587,P36507,PRKMK2","['1S9I', '4H3Q']",2
MAP2K4,mitogen-activated protein kinase kinase 4,6416.0,17:12020834-12143830,1,Yes,17p12,yes,,"pancreatic, breast, colorectal",,,E,Rec,"oncogene, TSG","D, Mis, N",,,,"CCDS62095.1,ENSG00000065559.14,JNKK1,MEK4,MKK4,NM_001281435.1,NP_001268364,P45985,PRKMK4,SERK1","['3ALN', '3ALO', '3VUT']",3
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",4214.0,5:56815574-56896152,1,Yes,5q11.2,yes,,luminal A breast,,,E,Rec,"oncogene, TSG","N, F, Mis, O, S",,yes,"46,XY sex reversal 6","CCDS43318.1,ENSG00000095015.5,MAPKKK1,MEKK,MEKK1,NM_005921.1,NP_005912,Q13233",['6WHB'],1
MAP3K13,mitogen-activated protein kinase kinase kinase 13,9175.0,3:185363120-185489097,1,Yes,3q27.2,yes,,breast,,,E,Rec,"oncogene, TSG",F,,,,"CCDS3270.1,ENSG00000073803.13,LZK,MEKK13,NM_004721.4,NP_004712,O43283",,0
